datetime,preciptype,sunrise,sunset,conditions,description,icon,stations
2023-10-01,rain,2023-10-01T07:49:34,2023-10-01T19:30:27,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-02,,2023-10-02T07:51:01,2023-10-02T19:28:21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-03,rain,2023-10-03T07:52:29,2023-10-03T19:26:16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-04,rain,2023-10-04T07:53:57,2023-10-04T19:24:10,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-05,rain,2023-10-05T07:55:25,2023-10-05T19:22:06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-06,rain,2023-10-06T07:56:54,2023-10-06T19:20:01,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2023-10-07,,2023-10-07T07:58:23,2023-10-07T19:17:57,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-08,rain,2023-10-08T07:59:52,2023-10-08T19:15:54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-09,,2023-10-09T08:01:21,2023-10-09T19:13:51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-10,,2023-10-10T08:02:51,2023-10-10T19:11:49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-11,rain,2023-10-11T08:04:21,2023-10-11T19:09:48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-12,rain,2023-10-12T08:05:51,2023-10-12T19:07:47,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
2023-10-13,rain,2023-10-13T08:07:21,2023-10-13T19:05:47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-14,rain,2023-10-14T08:08:52,2023-10-14T19:03:48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2023-10-15,rain,2023-10-15T08:10:23,2023-10-15T19:01:49,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-16,,2023-10-16T08:11:55,2023-10-16T18:59:51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2023-10-17,,2023-10-17T08:13:27,2023-10-17T18:57:54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-18,rain,2023-10-18T08:14:59,2023-10-18T18:55:58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-19,rain,2023-10-19T08:16:31,2023-10-19T18:54:03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-20,rain,2023-10-20T08:18:04,2023-10-20T18:52:09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-21,rain,2023-10-21T08:19:37,2023-10-21T18:50:16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-22,rain,2023-10-22T08:21:10,2023-10-22T18:48:24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-23,rain,2023-10-23T08:22:44,2023-10-23T18:46:33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-24,rain,2023-10-24T08:24:17,2023-10-24T18:44:43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-25,rain,2023-10-25T08:25:51,2023-10-25T18:42:54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-26,rain,2023-10-26T08:27:26,2023-10-26T18:41:07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-27,rain,2023-10-27T08:29:00,2023-10-27T18:39:21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-28,rain,2023-10-28T08:30:35,2023-10-28T18:37:36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-29,rain,2023-10-29T07:32:10,2023-10-29T17:35:52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-30,rain,2023-10-30T07:33:45,2023-10-30T17:34:10,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-31,rain,2023-10-31T07:35:21,2023-10-31T17:32:30,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-01,rain,2023-11-01T07:36:56,2023-11-01T17:30:50,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-02,rain,2023-11-02T07:38:32,2023-11-02T17:29:13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-03,rain,2023-11-03T07:40:07,2023-11-03T17:27:36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-04,rain,2023-11-04T07:41:43,2023-11-04T17:26:02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-05,rain,2023-11-05T07:43:19,2023-11-05T17:24:29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-06,rain,2023-11-06T07:44:54,2023-11-06T17:22:58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-11-07,rain,2023-11-07T07:46:30,2023-11-07T17:21:29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-08,rain,2023-11-08T07:48:05,2023-11-08T17:20:01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-09,rain,2023-11-09T07:49:41,2023-11-09T17:18:35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-10,rain,2023-11-10T07:51:16,2023-11-10T17:17:11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-11-11,rain,2023-11-11T07:52:51,2023-11-11T17:15:50,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-12,rain,2023-11-12T07:54:26,2023-11-12T17:14:30,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-13,rain,2023-11-13T07:56:00,2023-11-13T17:13:12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-14,rain,2023-11-14T07:57:34,2023-11-14T17:11:56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-11-15,rain,2023-11-15T07:59:08,2023-11-15T17:10:42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-16,rain,2023-11-16T08:00:41,2023-11-16T17:09:31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2023-11-17,rain,2023-11-17T08:02:14,2023-11-17T17:08:22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999,D3623"
2023-11-18,rain,2023-11-18T08:03:46,2023-11-18T17:07:15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
2023-11-19,rain,2023-11-19T08:05:18,2023-11-19T17:06:10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-20,rain,2023-11-20T08:06:48,2023-11-20T17:05:08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-21,rain,2023-11-21T08:08:18,2023-11-21T17:04:08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-22,,2023-11-22T08:09:47,2023-11-22T17:03:11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
